City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,Hokitika,-42.7167,170.9667,58.08,94,64,2.91,NZ,2021-03-28 19:25:21
251,Shunyi,40.125,116.6453,53.6,11,0,11.18,CN,2021-03-28 19:25:22
252,Pangody,65.85,74.4859,-7.1,99,83,8.23,RU,2021-03-28 19:25:22
253,Svetlogorsk,52.6333,29.7333,39.02,96,100,10.56,BY,2021-03-28 19:25:22
254,Monrovia,6.3005,-10.7969,78.8,94,75,5.79,LR,2021-03-28 19:25:23
255,Ukiah,39.1502,-123.2078,71.01,37,1,2.84,US,2021-03-28 19:25:10
256,Bilibino,68.0546,166.4372,-25.65,95,58,3.49,RU,2021-03-28 19:25:23
257,Yellowknife,62.456,-114.3525,24.01,42,75,17.27,CA,2021-03-28 19:20:58
258,Huarmey,-10.0681,-78.1522,75.51,73,100,10.0,PE,2021-03-28 19:25:24
259,Graaff-Reinet,-32.2522,24.5308,63.0,70,100,3.0,ZA,2021-03-28 19:25:24
260,Zyryanka,65.75,150.85,-7.13,98,100,1.77,RU,2021-03-28 19:25:24
261,Nelson Bay,-32.7167,152.15,63.0,100,40,3.44,AU,2021-03-28 19:25:25
262,Torbat-E Jam,35.244,60.6225,41.61,76,100,10.47,IR,2021-03-28 19:25:25
263,Nome,64.5011,-165.4064,12.0,85,90,31.07,US,2021-03-28 19:25:25
264,Novikovo,51.1537,37.8879,35.06,85,100,4.27,RU,2021-03-28 19:25:25
265,Mananjary,-21.2167,48.3333,77.22,85,1,0.94,MG,2021-03-28 19:25:26
266,Vao,-22.6667,167.4833,77.41,82,11,14.56,NC,2021-03-28 19:25:26
267,Clyde River,70.4692,-68.5914,-4.0,84,20,10.36,CA,2021-03-28 19:25:26
268,Nieuw Nickerie,5.95,-56.9833,78.6,87,100,13.6,SR,2021-03-28 19:25:27
269,Veisiejai,54.1,23.7,37.38,89,32,4.76,LT,2021-03-28 19:25:27
270,Kaiyuan,23.6977,103.3037,63.61,51,6,5.03,CN,2021-03-28 19:25:27
271,Quatre Cocos,-20.2078,57.7625,78.01,88,20,4.61,MU,2021-03-28 19:25:28
272,Beringovskiy,63.05,179.3167,9.48,94,100,16.53,RU,2021-03-28 19:25:28
273,Dunedin,-45.8742,170.5036,54.0,94,63,1.01,NZ,2021-03-28 19:23:30
274,Ola,59.5833,151.2833,-1.26,98,83,5.64,RU,2021-03-28 19:25:28
275,Kavieng,-2.5744,150.7967,82.67,75,95,13.71,PG,2021-03-28 19:25:29
276,Praia,14.9215,-23.5087,69.8,68,40,25.32,CV,2021-03-28 19:25:29
277,Adrar,20.5022,-10.0711,87.42,7,100,6.78,MR,2021-03-28 19:25:29
278,Hervey Bay,-25.2986,152.8535,70.0,82,100,1.01,AU,2021-03-28 19:22:53
279,Felanitx,39.4696,3.1483,59.0,63,0,6.91,ES,2021-03-28 19:25:29
280,Tartagal,-22.5164,-63.8013,65.39,59,94,4.25,AR,2021-03-28 19:25:30
281,Kautokeino,69.0125,23.0412,30.2,94,100,12.08,NO,2021-03-28 19:25:30
282,Chilca,-12.5211,-76.7372,75.99,64,0,9.22,PE,2021-03-28 19:25:31
283,Huilong,31.8111,121.655,62.01,80,0,4.0,CN,2021-03-28 19:25:31
284,Jalu,29.0331,21.5482,63.61,30,100,5.79,LY,2021-03-28 19:24:54
285,Samana,19.2056,-69.3369,84.2,74,40,9.22,DO,2021-03-28 19:24:28
286,Whitehorse,60.7161,-135.0538,21.0,35,20,14.97,CA,2021-03-28 19:25:31
287,Nianzishan,47.5167,122.8833,36.61,71,83,8.5,CN,2021-03-28 19:25:32
288,Kaitong,44.8135,123.15,40.37,47,0,17.47,CN,2021-03-28 19:25:32
289,Asau,46.4333,26.4,37.99,58,99,2.55,RO,2021-03-28 19:21:51
