City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Bandarbeyla,SO,9.4942,50.8122,82.15,49,43,5.86,scattered clouds
148,New Norfolk,AU,-42.7826,147.0587,77.0,31,99,5.99,overcast clouds
149,Mar Del Plata,AR,-38.0023,-57.5575,66.0,100,96,6.31,overcast clouds
150,Yakeshi,CN,49.2833,120.7333,51.4,33,100,6.29,overcast clouds
151,Doha,QA,25.2867,51.5333,86.0,26,0,4.61,clear sky
152,Rincon,US,32.296,-81.2354,64.4,100,1,9.22,clear sky
153,Isla Vista,US,34.4133,-119.861,66.99,82,1,3.44,clear sky
154,Saint George,US,37.1041,-113.5841,57.0,16,1,8.05,clear sky
155,Constitucion,CL,-35.3333,-72.4167,55.06,84,89,3.96,overcast clouds
156,Namibe,AO,-15.1961,12.1522,74.05,85,45,3.58,scattered clouds
157,Saldanha,ZA,-33.0117,17.9442,57.2,88,49,6.91,scattered clouds
158,Jumla,NP,29.2747,82.1838,63.95,10,0,12.24,clear sky
159,Dovolnoye,RU,54.4958,79.6671,22.17,85,29,12.3,scattered clouds
160,Waipawa,NZ,-41.4122,175.5153,59.0,58,59,18.41,broken clouds
161,Kemijarvi,FI,66.7131,27.4306,31.93,85,94,9.78,overcast clouds
162,Road Town,VG,18.4167,-64.6167,77.0,78,39,20.0,scattered clouds
163,Pontivy,FR,48.0,-3.0,54.0,71,0,6.91,clear sky
164,Gerash,IR,27.6652,54.1371,77.0,27,0,1.12,clear sky
165,Cabo San Lucas,MX,22.8909,-109.9124,73.0,55,100,7.92,overcast clouds
166,Barneveld,NL,52.1333,5.5833,50.0,82,91,1.01,overcast clouds
167,Hithadhoo,MV,-0.6,73.0833,84.07,77,84,21.36,broken clouds
168,San Quintin,MX,30.4833,-115.95,63.0,53,12,2.57,few clouds
169,Burnie,AU,-41.0667,145.9167,70.77,56,100,11.59,overcast clouds
170,Punta Arenas,CL,-53.15,-70.9167,44.6,87,0,3.44,clear sky
171,De Aar,ZA,-30.6497,24.0123,66.67,53,63,7.67,light rain
172,Sabha,LY,27.0377,14.4283,56.75,39,1,8.28,clear sky
173,Broome,US,42.2506,-75.833,41.0,93,90,8.05,overcast clouds
174,Cabedelo,BR,-6.9811,-34.8339,75.2,100,20,7.34,few clouds
175,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,82,20,6.91,few clouds
176,Kilindoni,TZ,-7.9139,39.6668,80.38,80,100,18.3,moderate rain
177,Mosquera,CO,4.7059,-74.2302,59.0,67,75,4.61,broken clouds
178,Acari,PE,-15.4311,-74.6158,72.68,78,85,2.93,overcast clouds
179,Moroto,UG,2.5345,34.6666,75.13,52,4,6.51,clear sky
180,Onega,RU,63.9061,38.1404,32.36,98,100,10.07,light snow
181,Ponta Delgada,PT,37.7333,-25.6667,57.2,82,20,6.91,few clouds
182,Churapcha,RU,62.0025,132.4325,31.15,78,100,9.35,light snow
183,Saint-Augustin,CA,51.226,-58.6502,31.03,93,100,6.55,overcast clouds
184,Hofn,IS,64.2539,-15.2082,42.42,65,3,10.0,clear sky
185,Rognedino,RU,53.8015,33.5576,46.04,89,76,8.14,broken clouds
186,Wana,PK,32.2989,69.5725,70.03,11,0,25.23,clear sky
187,Deputatskiy,RU,69.3,139.9,6.04,87,98,3.18,overcast clouds
188,Demyanovo,RU,60.3511,47.0842,33.66,94,100,8.16,overcast clouds
189,Narsaq,GL,60.9167,-46.05,32.0,74,75,4.61,snow
190,Sobolevo,RU,54.4299,31.8996,46.76,88,80,7.4,broken clouds
191,Bukama,CD,-9.2,25.85,70.93,91,81,1.63,broken clouds
192,Ahipara,NZ,-35.1667,173.1667,63.86,77,21,6.55,few clouds
193,Norman Wells,CA,65.282,-126.8329,10.4,92,75,2.3,light snow
194,Tirano,IT,46.2154,10.1679,54.0,61,25,6.51,scattered clouds
195,Lorengau,PG,-2.0226,147.2712,83.55,73,75,2.55,broken clouds
196,Severomuysk,RU,56.1481,113.4267,18.97,61,28,6.13,scattered clouds
197,Luderitz,NA,-26.6481,15.1594,69.19,56,0,10.29,clear sky
198,Ust-Kuyga,RU,70.0167,135.6,12.09,82,100,4.41,overcast clouds
199,Atar,MR,20.5169,-13.0499,76.8,23,91,10.38,overcast clouds
200,Nanortalik,GL,60.1432,-45.2371,34.14,91,90,11.39,overcast clouds
201,Edd,ER,13.9297,41.6925,85.59,48,21,1.52,few clouds
202,Prince Rupert,CA,54.3161,-130.3201,41.0,93,90,16.11,light rain
203,Bredasdorp,ZA,-34.5322,20.0403,59.0,82,99,2.3,overcast clouds
204,Siniscola,IT,40.5719,9.6922,48.2,81,0,1.14,clear sky
205,Fort Nelson,CA,58.8053,-122.7002,39.2,38,75,4.61,broken clouds
206,Broken Hill,AU,-31.95,141.4333,86.0,19,0,6.91,clear sky
207,San Patricio,US,28.017,-97.5169,69.8,49,90,14.97,overcast clouds
208,Tahoua,NE,14.8888,5.2692,66.2,12,0,4.61,clear sky
209,Celestun,MX,20.8667,-90.4,79.68,74,89,13.53,overcast clouds
210,Mahebourg,MU,-20.4081,57.7,78.8,89,75,3.44,broken clouds
211,Port Elizabeth,ZA,-33.918,25.5701,64.0,79,91,10.2,overcast clouds
212,Pisco,PE,-13.7,-76.2167,68.0,77,0,6.91,clear sky
213,Pitimbu,BR,-7.4706,-34.8086,75.2,100,20,6.78,few clouds
214,Chokurdakh,RU,70.6333,147.9167,6.08,90,64,6.35,broken clouds
215,Clovis,US,36.8252,-119.7029,69.8,30,1,5.44,clear sky
216,Jieshi,CN,22.8134,115.8257,84.0,73,95,3.0,overcast clouds
217,Cunha,BR,-23.0744,-44.9597,54.16,96,45,2.08,scattered clouds
218,Sinnamary,GF,5.3833,-52.95,76.03,87,86,9.89,overcast clouds
219,Mocuba,MZ,-16.8392,36.9856,72.5,76,30,2.06,scattered clouds
220,Grindavik,IS,63.8424,-22.4338,41.0,81,90,21.85,overcast clouds
221,Tasiilaq,GL,65.6145,-37.6368,26.6,50,96,4.61,overcast clouds
222,Krasnoselkup,RU,65.7,82.4667,7.77,74,13,15.88,few clouds
223,Ures,MX,29.4333,-110.4,73.99,21,85,5.01,overcast clouds
224,New Milford,US,40.9327,-74.0179,57.2,94,75,11.5,mist
225,Coahuayana,MX,18.7333,-103.6833,71.51,51,77,2.91,broken clouds
226,Lafayette,US,30.2335,-92.0668,55.4,44,90,17.27,overcast clouds
