City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
260,Bulembu,SZ,66.2,clear sky,-25.9667,31.1333,Bulembu Lodge
261,Shuangyang,CN,64.99,clear sky,43.5242,125.6736,Boutique Chatelet
262,Porto Velho,BR,73.4,light rain,-8.7619,-63.9039,Hotel Central
268,Mahibadhoo,MV,84.29,overcast clouds,3.7833,72.9667,Omadhoo Inn
269,Thai Binh,VN,78.8,broken clouds,20.45,106.3333,Sweden Hotel
270,Aswan,EG,67.1,clear sky,24.0934,32.907,Nuba Nile
272,Samarai,PG,85.05,broken clouds,-10.6167,150.6667,Nuli Sapi
273,Sao Felix Do Xingu,BR,70.5,broken clouds,-6.6447,-51.995,Rio Xingu Camping
274,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
275,Ishigaki,JP,80.6,light rain,24.3448,124.1572,Hotel Peace Land Ishigakijima
276,Kahului,US,73.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
277,Qujing,CN,78.01,few clouds,25.4833,103.7833,Yulong Hotel
278,Da Nang,VN,87.8,few clouds,16.0678,108.2208,Sun River Hotel
280,Margherita,IN,69.8,mist,27.2833,95.6833,Dehing Guest House
281,Dwarka,IN,85.05,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
282,Katsuura,JP,70.0,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
284,La Palma,US,71.6,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
285,Yangjiang,CN,87.01,few clouds,21.85,111.9667,HUALUXE Yangjiang City Center
286,Kawalu,ID,82.2,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
291,Cayenne,GF,79.0,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
293,Buraydah,SA,71.6,few clouds,26.326,43.975,فندق راحة السلام
294,Vila Velha,BR,69.8,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
299,Kieta,PG,83.08,light rain,-6.2167,155.6333,Uruna Bay Retreat
302,Kisangani,CD,75.15,overcast clouds,0.5167,25.2,Grand Ramela Hotel
303,Rio Brilhante,BR,63.66,scattered clouds,-21.8019,-54.5464,Hotel Cattani
305,Tongliao,CN,66.52,overcast clouds,43.6125,122.2653,Meirujia Hotel
308,Alofi,NU,82.4,clear sky,-19.0595,-169.9187,Taloa Heights
316,Panaba,MX,72.52,broken clouds,21.2833,-88.2667,Posada rosario
327,Imbituba,BR,69.8,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
329,Torit,SS,82.11,broken clouds,4.4133,32.5678,Diplomat Guest House
333,Palu,ID,88.61,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
335,Concord,US,64.0,clear sky,37.978,-122.0311,Premier Inns Concord
336,Acarau,BR,77.07,overcast clouds,-2.8856,-40.12,castelo pizzaria
337,Soyo,AO,76.3,overcast clouds,-6.1349,12.3689,Hotel Mpampa
341,Gizo,SB,84.38,broken clouds,-8.103,156.8419,Imagination Island
342,Clarence Town,AU,75.0,scattered clouds,-32.5833,151.7833,River Downs Cottage
344,Nanakuli,US,75.2,broken clouds,21.3906,-158.1547,Camp Pālehua
347,Wanaka,NZ,62.04,broken clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
350,Wanning,CN,84.85,few clouds,18.8003,110.3967,Paradise Hotel
352,Puerto Escondido,MX,80.67,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
357,Yulara,AU,86.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
358,Half Moon Bay,US,64.4,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
360,Port Moresby,PG,84.2,moderate rain,-9.4431,147.1797,Lamana Hotel
362,Mangrol,IN,85.57,clear sky,21.1167,70.1167,Hotel The Royal Honours
364,Tupaciguara,BR,68.0,clear sky,-18.5922,-48.705,Hotel Tupaciguara
366,Kirakira,SB,82.78,light rain,-10.4544,161.9205,SanBiz Lodge
